,Column1,NAME,NUMBER OF COURSES,companyname,coursetype,URL2,Column5
209,412,Epidemiology for Public Health,3.0,Imperial College London,SPECIALIZATION,https://www.coursera.org/specializations/public-health-epidemiology,
210,198,Epidemiology in Public Health Practice,5.0,Johns Hopkins University,SPECIALIZATION,https://www.coursera.org/specializations/professional-epidemiology,
211,453,Esports,4.0,"University of California, Irvine",SPECIALIZATION,https://www.coursera.org/specializations/esports,
212,605,Essential English for University Success,3.0,"University of California, Irvine",SPECIALIZATION,https://www.coursera.org/specializations/essential-english-for-university-success,
213,458,Essentials of Corporate Finance,5.0,The University of Melbourne,SPECIALIZATION,https://www.coursera.org/specializations/learn-finance,
214,580,Estrategia de marketing,5.0,IE Business School,SPECIALIZATION,https://www.coursera.org/specializations/estrategia-de-marketing,
215,487,Ethics in the Age of AI,4.0,LearnQuest,SPECIALIZATION,https://www.coursera.org/specializations/ethics-in-ai,
216,509,European Business Law,3.0,Lund University,SPECIALIZATION,https://www.coursera.org/specializations/european-business-law,
217,163,Everyday Excel,3.0,University of Colorado Boulder,SPECIALIZATION,https://www.coursera.org/specializations/everyday-excel,
218,38,Excel Skills for Business,4.0,Macquarie University,SPECIALIZATION,https://www.coursera.org/specializations/excel,
219,478,Excel Skills for Business Forecasting,3.0,Macquarie University,SPECIALIZATION,https://www.coursera.org/specializations/excel-skills-for-business-forecasting,
220,124,Excel Skills for Data Analytics and Visualization,3.0,Macquarie University,SPECIALIZATION,https://www.coursera.org/specializations/excel-data-analytics-visualization,
221,160,Excel to MySQL: Analytic Techniques for Business,5.0,Duke University,SPECIALIZATION,https://www.coursera.org/specializations/excel-mysql,
222,219,Excel/VBA for Creative Problem Solving,3.0,University of Colorado Boulder,SPECIALIZATION,https://www.coursera.org/specializations/excel-vba-creative-problem-solving,
223,139,Executive Data Science,5.0,Johns Hopkins University,SPECIALIZATION,https://www.coursera.org/specializations/executive-data-science,
224,565,Exploring Our Responses to Climate Change,3.0,University of Colorado Boulder,SPECIALIZATION,https://www.coursera.org/specializations/our-responses-climate-change,
225,507,Exploring Piano Literature: The Piano Sonata,3.0,University of Michigan,SPECIALIZATION,https://www.coursera.org/specializations/exploring-piano-literature,
226,318,Extended Reality for Everybody,3.0,University of Michigan,SPECIALIZATION,https://www.coursera.org/specializations/extended-reality-for-everybody,
227,22,Facebook Social Media Marketing,6.0,Facebook,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/facebook-social-media-marketing,
228,588,Fandom and Popular Culture in the Digital Age,3.0,University of Colorado Boulder,SPECIALIZATION,https://www.coursera.org/specializations/fandom-popular-culture-digital-age,
229,26,Finance & Quantitative Modeling for Analysts,4.0,University of Pennsylvania,SPECIALIZATION,https://www.coursera.org/specializations/finance-quantitative-modeling-analysts,
230,579,Finance for Everyone,5.0,McMaster University,SPECIALIZATION,https://www.coursera.org/specializations/finance-for-everyone,
231,136,Financial Engineering and Risk Management,5.0,Columbia University,SPECIALIZATION,https://www.coursera.org/specializations/financialengineering,
232,246,Financial Management,7.0,University of Illinois at Urbana-Champaign,SPECIALIZATION,https://www.coursera.org/specializations/financial-management,
233,350,Financial Markets and Investment Strategy,5.0,Indian School of Business,SPECIALIZATION,https://www.coursera.org/specializations/investment-strategy,
234,288,Financial Reporting,5.0,University of Illinois at Urbana-Champaign,SPECIALIZATION,https://www.coursera.org/specializations/financial-reporting,
235,106,Financial Technology (Fintech) Innovations,4.0,University of Michigan,SPECIALIZATION,https://www.coursera.org/specializations/financialtechnology,
236,464,Fintech Startups in Emerging Markets,4.0,University of Cape Town,SPECIALIZATION,https://www.coursera.org/specializations/fintech-startups-emerging-markets,
237,243,FinTech: Finance Industry Transformation and Regulation,4.0,The Hong Kong University of Science and Technology,SPECIALIZATION,https://www.coursera.org/specializations/fintech,
238,42,Fintech: Foundations & Applications of Financial Technology,4.0,University of Pennsylvania,SPECIALIZATION,https://www.coursera.org/specializations/wharton-fintech,
239,614,First Principles of Computer Vision,5.0,Columbia University,SPECIALIZATION,https://www.coursera.org/specializations/firstprinciplesofcomputervision,
240,202,"Food Sustainability, Mindful Eating, and Healthy Cooking",3.0,Stanford University,SPECIALIZATION,https://www.coursera.org/specializations/food-sustainability-mindful-eating-healthy-cooking,
241,223,Foundational Finance for Strategic Decision Making,4.0,University of Michigan,SPECIALIZATION,https://www.coursera.org/specializations/foundational-finance,
242,229,Foundations of Global Health,6.0,Johns Hopkins University,SPECIALIZATION,https://www.coursera.org/specializations/global-health,
243,118,Foundations of Management,5.0,IESE Business School,SPECIALIZATION,https://www.coursera.org/specializations/foundations-management,
244,498,Foundations of Marketing Analytics,6.0,Emory University,SPECIALIZATION,https://www.coursera.org/specializations/marketing-analytics,
245,43,Foundations of Positive Psychology,5.0,University of Pennsylvania,SPECIALIZATION,https://www.coursera.org/specializations/positivepsychology,
246,277,Foundations of Public Health Practice,4.0,Imperial College London,SPECIALIZATION,https://www.coursera.org/specializations/foundations-public-health-practice,
247,255,FPGA Design for Embedded Systems,4.0,University of Colorado Boulder,SPECIALIZATION,https://www.coursera.org/specializations/fpga-design,
248,265,From Data to Insights with Google Cloud,4.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/from-data-to-insights-google-cloud-platform,
249,625,From Data to Insights with Google Cloud 日本語版,4.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/from-data-to-insights-google-cloud-platform-jp,
250,199,Full Stack Web Development with Angular,3.0,The Hong Kong University of Science and Technology,SPECIALIZATION,https://www.coursera.org/specializations/full-stack-mobile-app-development,
251,172,Full-Stack Web Development with React,3.0,The Hong Kong University of Science and Technology,SPECIALIZATION,https://www.coursera.org/specializations/full-stack-react,
252,167,Functional Programming in Scala,5.0,École Polytechnique Fédérale de Lausanne,SPECIALIZATION,https://www.coursera.org/specializations/scala,
253,138,Fundamentals of Accounting,5.0,University of Illinois at Urbana-Champaign,SPECIALIZATION,https://www.coursera.org/specializations/accounting-fundamentals,
254,518,Fundamentals of Computer Network Security,4.0,University of Colorado System,SPECIALIZATION,https://www.coursera.org/specializations/computer-network-security,
255,253,Fundamentals of Computing,7.0,Rice University,SPECIALIZATION,https://www.coursera.org/specializations/computer-fundamentals,
256,206,Fundamentals of Immunology,4.0,Rice University,SPECIALIZATION,https://www.coursera.org/specializations/immunology,
257,316,Fundamentos de Ciencia de Datos con Python y SQL,4.0,IBM,SPECIALIZATION,https://www.coursera.org/specializations/fundamentos-de-ciencia-de-datos-con-python-y-sql,
258,444,Fundamentos de IA para Todos,3.0,IBM,SPECIALIZATION,https://www.coursera.org/specializations/fundamentos-de-ia-para-todos,
259,348,Fundamentos del Análisis y Visualización de Datos,3.0,IBM,SPECIALIZATION,https://www.coursera.org/specializations/fundamentos-del-analisis-y-visualizacion-de-datos,
260,539,Fundamentos Empresariales,5.0,University of Pennsylvania,SPECIALIZATION,https://www.coursera.org/specializations/wharton-fundamentos-empresariales,
261,363,Fundraising and Development,4.0,"University of California, Davis",SPECIALIZATION,https://www.coursera.org/specializations/fundraising-development,
262,194,Futures Thinking,5.0,Institute for the Future,SPECIALIZATION,https://www.coursera.org/specializations/futures-thinking,
263,282,Game Design and Development with Unity 2020,5.0,Michigan State University,SPECIALIZATION,https://www.coursera.org/specializations/game-design-and-development,
264,241,Game Design: Art and Concepts,5.0,California Institute of the Arts,SPECIALIZATION,https://www.coursera.org/specializations/game-design,
265,251,Gender Analytics: Gender Equity through Inclusive Design,5.0,University of Toronto,SPECIALIZATION,https://www.coursera.org/specializations/gender-analytics,
266,76,Generative Adversarial Networks (GANs),3.0,DeepLearning.AI,SPECIALIZATION,https://www.coursera.org/specializations/generative-adversarial-networks-gans,
267,82,Genomic Data Science,8.0,Johns Hopkins University,SPECIALIZATION,https://www.coursera.org/specializations/genomic-data-science,
268,134,Geographic Information Systems (GIS),5.0,"University of California, Davis",SPECIALIZATION,https://www.coursera.org/specializations/gis,
269,144,Getting started with Google Workspace,8.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/getting-started-with-google-workspace,
270,628,Getting Started with Google Workspace 日本語版,7.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/getting-started-with-google-workspace-jp,
271,593,Getting Started with Google Workspace en Español,7.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/getting-started-with-google-workspace-es,
272,232,"GIS, Mapping, and Spatial Analysis",0.0,University of Toronto,SPECIALIZATION,https://www.coursera.org/specializations/gis-mapping-spatial-analysis,
273,587,Global Challenges in Business,7.0,University of Illinois at Urbana-Champaign,SPECIALIZATION,https://www.coursera.org/specializations/global-challenges-business,
274,461,Global Disease Masterclass,3.0,Imperial College London,SPECIALIZATION,https://www.coursera.org/specializations/gmph-global-disease-masterclass,
275,454,Global Health Innovations,3.0,Imperial College London,SPECIALIZATION,https://www.coursera.org/specializations/global-health-innovations,
276,89,Global Procurement and Sourcing,7.0,Rutgers the State University of New Jersey,SPECIALIZATION,https://www.coursera.org/specializations/procurement-sourcing,
277,483,"Globalización, Crecimiento Económico y Estabilidad",3.0,IE Business School,SPECIALIZATION,https://www.coursera.org/specializations/globalizacion-crecimiento-economico-y-estabilidad,
278,511,"Globalization, Economic Growth and Stability",3.0,IE Business School,SPECIALIZATION,https://www.coursera.org/specializations/globalization-economic-growth-and-stability,
279,571,Good with Words: Speaking and Presenting,4.0,University of Michigan,SPECIALIZATION,https://www.coursera.org/specializations/good-with-words-speaking-and-presenting,
280,147,Good with Words: Writing and Editing,4.0,University of Michigan,SPECIALIZATION,https://www.coursera.org/specializations/good-with-words,
281,133,Google Cloud Digital Leader Training,4.0,Google Cloud,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/google-cloud-digital-leader-training,
282,0,Google Data Analytics,8.0,Google,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/google-data-analytics,
283,16,Google IT Automation with Python,6.0,Google,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/google-it-automation,
284,4,Google IT Support,5.0,Google,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/google-it-support,
285,601,Google IT Support (Deutsch),5.0,Google,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/google-it-de,
286,471,Google شهادة تقنية المعلومات من,5.0,Google,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/google-it-arabic,
287,1,Google Project Management:,6.0,Google,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/google-project-management,
288,3,Google UX Design,4.0,Google,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/google-ux-design,
289,192,Google Workspace Administration,5.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/g-suite-administration,
290,557,Google Workspace Administration 日本語版,4.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/g-suite-administration-jp,
291,72,Graphic Design,5.0,California Institute of the Arts,SPECIALIZATION,https://www.coursera.org/specializations/graphic-design,
292,376,Graphic Design Elements for Non-Designers,4.0,University of Colorado Boulder,SPECIALIZATION,https://www.coursera.org/specializations/graphic-design-elements-non-designers,
293,494,Hands-on Foundations for Data Science and Machine Learning with Google Cloud Labs,4.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/hands-on-data-science-machine-learning,
294,451,Hands-on Internet of Things,4.0,University of Illinois at Urbana-Champaign,SPECIALIZATION,https://www.coursera.org/specializations/uiuc-iot,
295,570,Hands-on Machine Learning with Google Cloud Labs,3.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/hands-on-machine-learning,
296,294,Health Informatics,5.0,Johns Hopkins University,SPECIALIZATION,https://www.coursera.org/specializations/health-informatics,
297,312,Health Information Literacy for Data Analytics,4.0,"University of California, Davis",SPECIALIZATION,https://www.coursera.org/specializations/healthcare-information-literacy-data-analytics,
298,382,Health Systems Development,3.0,Imperial College London,SPECIALIZATION,https://www.coursera.org/specializations/health-systems-development,
299,388,Healthcare IT Support,4.0,Johns Hopkins University,SPECIALIZATION,https://www.coursera.org/specializations/healthcare-it,
300,209,Healthcare Law,4.0,University of Pennsylvania,SPECIALIZATION,https://www.coursera.org/specializations/healthcare-law,
301,424,Healthcare Marketplace,5.0,University of Minnesota,SPECIALIZATION,https://www.coursera.org/specializations/healthcare-marketplace,
302,330,Healthcare Organization Operations,4.0,Rutgers the State University of New Jersey,SPECIALIZATION,https://www.coursera.org/specializations/healthcare-organization-operations,
303,506,Healthcare Trends for Business Professionals,4.0,Northeastern University,SPECIALIZATION,https://www.coursera.org/specializations/healthcare-trends-business-professionals,
304,475,Homeland Security and Cybersecurity,4.0,University of Colorado System,SPECIALIZATION,https://www.coursera.org/specializations/homeland-security-cybersecurity,
305,274,"Hotel Management: Distribution, Revenue and Demand Management",4.0,ESSEC Business School,SPECIALIZATION,https://www.coursera.org/specializations/hotel-management,
306,174,How to Play Guitar,4.0,Berklee College of Music,SPECIALIZATION,https://www.coursera.org/specializations/play-guitar,
307,422,How to Start Your Own Business,6.0,Michigan State University,SPECIALIZATION,https://www.coursera.org/specializations/start-your-own-business,
308,99,Human Resource Management: HR for People Managers,5.0,University of Minnesota,SPECIALIZATION,https://www.coursera.org/specializations/human-resource-management,
309,37,IBM AI Engineering,6.0,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/ai-engineer,
310,370,IBM AI Enterprise Workflow,6.0,IBM,SPECIALIZATION,https://www.coursera.org/specializations/ibm-ai-workflow,
311,14,IBM AI Foundations for Business,3.0,IBM,SPECIALIZATION,https://www.coursera.org/specializations/ibm-ai-foundations-for-business,
312,21,IBM Applied AI,6.0,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,
313,19,IBM Cybersecurity Analyst,8.0,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst,
314,5,IBM Data Analyst,9.0,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/ibm-data-analyst,
315,12,IBM Data Analytics with Excel and R,8.0,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/ibm-data-analyst-r-excel,
316,11,IBM Data Engineering,13.0,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/ibm-data-engineer,
317,2,IBM Data Science,10.0,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/ibm-data-science,
318,18,IBM Full Stack Cloud Developer,10.0,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,
319,78,IBM Introduction to Machine Learning,4.0,IBM,SPECIALIZATION,https://www.coursera.org/specializations/ibm-intro-machine-learning,
320,68,IBM Machine Learning,6.0,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/ibm-machine-learning,
321,338,IBM z/OS Mainframe Practitioner,3.0,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/ibm-z-mainframe,
322,413,ICPM Certified Supervisor,3.0,Institute of Certified Professional Managers,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/icpm-certified-supervisor,
323,200,IELTS Preparation,3.0,"University of California, Irvine",SPECIALIZATION,https://www.coursera.org/specializations/ielts-preparation,
324,343,Impacts of the Environment on Global Public Health,4.0,University of Michigan,SPECIALIZATION,https://www.coursera.org/specializations/impacts-of-the-environment-on-global-public-health,
325,472,Implementación del Marketing Mix,5.0,IE Business School,SPECIALIZATION,https://www.coursera.org/specializations/implementacion-marketing-mix,
326,367,Implementing RPA with Cognitive Automation and Analytics,4.0,Automation Anywhere,SPECIALIZATION,https://www.coursera.org/specializations/rpa-cognitive-analytics,
327,45,Improve Your English Communication Skills,4.0,Georgia Institute of Technology,SPECIALIZATION,https://www.coursera.org/specializations/improve-english,
328,372,Improving Leadership & Governance in Nonprofit Organizations,4.0,University at Buffalo,SPECIALIZATION,https://www.coursera.org/specializations/nonprofit,
329,428,Infectious Disease Modelling,3.0,Imperial College London,SPECIALIZATION,https://www.coursera.org/specializations/infectious-disease-modelling,
330,132,"Influencing: Storytelling, Change Management and Governance",4.0,Macquarie University,SPECIALIZATION,https://www.coursera.org/specializations/influencing-storytelling-change-management,
331,212,Information Systems,4.0,University of Minnesota,SPECIALIZATION,https://www.coursera.org/specializations/information-systems,
332,411,Information Visualization,4.0,New York University,SPECIALIZATION,https://www.coursera.org/specializations/information-visualization,
333,324,Inglés Empresarial,4.0,Arizona State University,SPECIALIZATION,https://www.coursera.org/specializations/ingles-empresarial,
334,572,Innovation and entrepreneurship,4.0,Tecnológico de Monterrey,SPECIALIZATION,https://www.coursera.org/specializations/innovation-entrepreneurship,
335,211,Innovation: From Creativity to Entrepreneurship,7.0,University of Illinois at Urbana-Champaign,SPECIALIZATION,https://www.coursera.org/specializations/innovation-creativity-entrepreneurship,
336,260,Inspirational Leadership: Leading with Sense,4.0,HEC Paris,SPECIALIZATION,https://www.coursera.org/specializations/inspirational-leadership,
337,270,Inspirational Leadership: Leading with Sense,4.0,Case Western Reserve University,SPECIALIZATION,https://www.coursera.org/specializations/inspirational-leadership,
338,176,Inspired Leadership,4.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/inspired-leadership,
339,374,Installing and Managing Google Cloud’s Apigee API Platform for Private Cloud,3.0,Johns Hopkins University,SPECIALIZATION,https://www.coursera.org/specializations/apigee-api-gcp-onprem,
340,452,Integral Calculus through Data and Modeling,4.0,University of Minnesota,SPECIALIZATION,https://www.coursera.org/specializations/integral-calculus-data-modeling,
341,146,Integrative Health and Medicine,5.0,University of Minnesota,SPECIALIZATION,https://www.coursera.org/specializations/integrative-health-and-medicine,
342,291,Integrative Nursing,4.0,University of Pennsylvania,SPECIALIZATION,https://www.coursera.org/specializations/integrative-nursing,
343,143,Intellectual Property Law,4.0,University of California San Diego,SPECIALIZATION,https://www.coursera.org/specializations/introduction-intellectual-property,
344,156,Interaction Design,8.0,University of Colorado Boulder,SPECIALIZATION,https://www.coursera.org/specializations/interaction-design,
345,473,International Business,4.0,University of London,SPECIALIZATION,https://www.coursera.org/specializations/international-business,
346,349,International Business Essentials,6.0,Yonsei University,SPECIALIZATION,https://www.coursera.org/specializations/mba,
347,541,International Marketing & Cross Industry Growth,6.0,University of California San Diego,SPECIALIZATION,https://www.coursera.org/specializations/international-marketing,
348,602,Internet of Things and AI Cloud,6.0,"University of Maryland, College Park",SPECIALIZATION,https://www.coursera.org/specializations/internet-of-things,
349,409,Interviewing and Resume Writing in English,5.0,IBM,SPECIALIZATION,https://www.coursera.org/specializations/english-interview-resume,
350,286,Introducción a la Especialización en Ciencia de Datos,4.0,LearnQuest,SPECIALIZATION,https://www.coursera.org/specializations/introduccion-a-la-especializacion-en-ciencia-de-datos,
351,463,Introduction to Application Development,4.0,University of Colorado System,SPECIALIZATION,https://www.coursera.org/specializations/beginning-application-developer,
352,536,Introduction to Applied Cryptography,4.0,Association of International Certified Professional Accountants,SPECIALIZATION,https://www.coursera.org/specializations/introduction-applied-cryptography,
353,496,Introduction to Blockchain,3.0,"University of California, Irvine",SPECIALIZATION,https://www.coursera.org/specializations/introduction-to-blockchain,
354,564,Introduction to Business,3.0,University of Illinois at Urbana-Champaign,SPECIALIZATION,https://www.coursera.org/specializations/business-introduction,
355,515,Introduction to Business Analytics and Information Economics,4.0,Databricks,SPECIALIZATION,https://www.coursera.org/specializations/analytics-information,
356,561,Introduction to Computational Statistics for Data Scientists,3.0,"University of California, Irvine",SPECIALIZATION,https://www.coursera.org/specializations/compstats,
357,491,Introduction to Computer Information Systems,3.0,LearnQuest,SPECIALIZATION,https://www.coursera.org/specializations/introduction-computer-infosystems,
358,361,Introduction to Computer Programming with Visual Basic,4.0,University of London,SPECIALIZATION,https://www.coursera.org/specializations/visual-basic-computer-programming,
359,169,Introduction to Computer Science and Programming,3.0,New York University,SPECIALIZATION,https://www.coursera.org/specializations/introduction-computer-science-programming,
360,165,Introduction to Cyber Security,4.0,"University of California, Irvine",SPECIALIZATION,https://www.coursera.org/specializations/intro-cyber-security,
361,244,Introduction to Cybersecurity & Risk Management,3.0,IBM,SPECIALIZATION,https://www.coursera.org/specializations/information-security,
362,7,Introduction to Data Science,4.0,University of California San Diego,SPECIALIZATION,https://www.coursera.org/specializations/introduction-data-science,
363,109,Introduction to Discrete Mathematics for Computer Science,5.0,Rice University,SPECIALIZATION,https://www.coursera.org/specializations/discrete-mathematics,
364,531,Introduction to Electricity and Magnetism,4.0,University of Pennsylvania,SPECIALIZATION,https://www.coursera.org/specializations/introduction-to-electricity-magnetism,
365,27,Introduction to Finance and Accounting,4.0,"University of California, Irvine",SPECIALIZATION,https://www.coursera.org/specializations/finance-accounting,
366,301,Introduction to Financial Accounting: The Accounting Cycle,3.0,Duke University,SPECIALIZATION,https://www.coursera.org/specializations/accounting,
367,309,Introduction to Logic and Critical Thinking,4.0,Rice University,SPECIALIZATION,https://www.coursera.org/specializations/logic-critical-thinking-duke,
368,575,Introduction to Mechanics,3.0,University of Pennsylvania,SPECIALIZATION,https://www.coursera.org/specializations/introduction-to-mechanics,
369,91,Introduction to Programming with Python and Java,4.0,University of Colorado Boulder,SPECIALIZATION,https://www.coursera.org/specializations/programming-python-java,
370,391,Introduction to Public Relations and the Media,3.0,Rice University,SPECIALIZATION,https://www.coursera.org/specializations/introduction-to-public-relations-and-the-media,
371,319,Introduction to Scripting in Python,4.0,HSE University,SPECIALIZATION,https://www.coursera.org/specializations/introduction-scripting-in-python,
372,373,Introduction to value based business analytics,5.0,Duke University,SPECIALIZATION,https://www.coursera.org/specializations/value-based-business-analytics,
373,242,Introductory C Programming,4.0,Intuit,PROFESSIONAL CERTIFICATE,https://www.coursera.org/specializations/c-programming,
374,63,Intuit Bookkeeping,4.0,Rice University,SPECIALIZATION,https://www.coursera.org/professional-certificates/intuit-bookkeeping,
375,231,Investment and Portfolio Management,5.0,University of Geneva,SPECIALIZATION,https://www.coursera.org/specializations/investment-portolio-management,
376,185,Investment Management,5.0,EDHEC Business School,SPECIALIZATION,https://www.coursera.org/specializations/investment-management,
377,123,Investment Management with Python and Machine Learning,4.0,University of Toronto,SPECIALIZATION,https://www.coursera.org/specializations/investment-management-python-machine-learning,
378,484,iOS App Development with Swift,4.0,"University of California, Irvine",SPECIALIZATION,https://www.coursera.org/specializations/app-development,
379,542,iOS Development for Creative Entrepreneurs,6.0,IBM,SPECIALIZATION,https://www.coursera.org/specializations/ios-development,
380,20,IT Fundamentals for Cybersecurity,4.0,Google,PROFESSIONAL CERTIFICATE,https://www.coursera.org/specializations/it-fundamentals-cybersecurity,
381,445,IT-поддержка Google,5.0,LearnQuest,SPECIALIZATION,https://www.coursera.org/professional-certificates/google-it-ru,
382,608,Java as a Second Language,3.0,Duke University,SPECIALIZATION,https://www.coursera.org/specializations/java-programming-language,
383,88,Java Programming and Software Engineering Fundamentals,5.0,"University of California, Davis",SPECIALIZATION,https://www.coursera.org/specializations/java-programming,
384,280,JavaScript for Beginners,4.0,Infosec,SPECIALIZATION,https://www.coursera.org/specializations/javascript-beginner,
385,573,JavaScript Security,4.0,Yale University,SPECIALIZATION,https://www.coursera.org/specializations/javascript-security,
386,535,Journey of the Universe: A Story for Our Times,3.0,IBM,SPECIALIZATION,https://www.coursera.org/specializations/journey-of-the-universe,
387,9,Key Technologies for Business,3.0,LearnQuest,SPECIALIZATION,https://www.coursera.org/specializations/key-technologies-for-business,
388,547,Key Technologies in Data Analytics,4.0,Saint Petersburg State University,SPECIALIZATION,https://www.coursera.org/specializations/key-technologies-data-analytics,
389,401,Korean for Beginners,4.0,Tecnológico de Monterrey,SPECIALIZATION,https://www.coursera.org/specializations/korean-for-beginners,
390,545,Leadership and Critical Thinking,3.0,Tecnológico de Monterrey,SPECIALIZATION,https://www.coursera.org/specializations/leadership-critical-thinking,
391,543,Leadership and Negotiation Skills,3.0,Rice University,SPECIALIZATION,https://www.coursera.org/specializations/leadership-negotiation-skills,
392,489,Leadership Development for Engineers,3.0,The State University of New York,SPECIALIZATION,https://www.coursera.org/specializations/leadership-development-engineers,
393,537,Leadership for Public Health Crises,3.0,Tecnológico de Monterrey,SPECIALIZATION,https://www.coursera.org/specializations/leadership-public-health-crises,
394,592,Leading a Family Business,3.0,University of Michigan,SPECIALIZATION,https://www.coursera.org/specializations/leading-family-business,
395,131,Leading People and Teams,5.0,University of Colorado Boulder,SPECIALIZATION,https://www.coursera.org/specializations/leading-teams,
396,467,Leading Sustainable Community Transformation,3.0,University of Virginia,SPECIALIZATION,https://www.coursera.org/specializations/sustainable-transformation,
397,28,Leading the Modern Day Business,4.0,Macquarie University,SPECIALIZATION,https://www.coursera.org/specializations/leading-modern-day-business,
398,390,Leading: Human Resource Management and Leadership,4.0,Peking University,SPECIALIZATION,https://www.coursera.org/specializations/hr-management-leadership,
399,263,Learn Chinese: HSK Test Preparation,4.0,Tsinghua University,SPECIALIZATION,https://www.coursera.org/specializations/hsk-learn-chinese,
400,310,Learn English,4.0,"University of California, Irvine",SPECIALIZATION,https://www.coursera.org/specializations/learn-english,
401,449,Learn English: Advanced Academic Speaking and Listening,4.0,"University of California, Irvine",SPECIALIZATION,https://www.coursera.org/specializations/speaklistenenglish,
402,326,Learn English: Advanced Grammar and Punctuation,4.0,"University of California, Irvine",SPECIALIZATION,https://www.coursera.org/specializations/advanced-grammar-punctuation,
403,414,Learn English: Beginning Grammar,3.0,"University of California, Irvine",SPECIALIZATION,https://www.coursera.org/specializations/learn-english-beginning-grammar,
404,256,Learn English: Intermediate Grammar,4.0,Shanghai Jiao Tong University,SPECIALIZATION,https://www.coursera.org/specializations/intermediate-grammar,
405,366,Learn Mandarin Chinese,4.0,Shanghai Jiao Tong University,SPECIALIZATION,https://www.coursera.org/specializations/learn-mandarin,
406,480,Learn Mandarin Chinese: Intermediate,4.0,"University of California, Davis",SPECIALIZATION,https://www.coursera.org/specializations/learn-mandarin-chinese-intermediate,
407,189,Learn Spanish: Basic Spanish Vocabulary,5.0,"University of California, Davis",SPECIALIZATION,https://www.coursera.org/specializations/learn-spanish,
408,32,Learn SQL Basics for Data Science,4.0,University of California San Diego,SPECIALIZATION,https://www.coursera.org/specializations/learn-sql-basics-data-science,
409,591,Learn to Teach Java,5.0,"University of Maryland, College Park",SPECIALIZATION,https://www.coursera.org/specializations/teach-java,
410,538,Legal Aspects of Entrepreneurship,3.0,Red Hat,SPECIALIZATION,https://www.coursera.org/specializations/legal-aspects-of-entrepreneurship,
411,273,Linux and Private Cloud Administration on IBM Power Systems,3.0,University of Washington,SPECIALIZATION,https://www.coursera.org/specializations/linux-private-cloud-administration-power-systems,
412,304,Machine Learning and Reinforcement Learning in Finance,4.0,New York University,SPECIALIZATION,https://www.coursera.org/specializations/machine-learning-reinforcement-finance,
413,24,Machine Learning Engineering for Production (MLOps),4.0,DeepLearning.AI,SPECIALIZATION,https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops,
414,482,Machine Learning for Supply Chains,4.0,LearnQuest,SPECIALIZATION,https://www.coursera.org/specializations/machine-learning-supply-chain,
415,303,Machine Learning for Trading,3.0,New York Institute of Finance,SPECIALIZATION,https://www.coursera.org/specializations/machine-learning-trading,
416,347,Machine Learning Rock Star – the End-to-End Practice,3.0,SAS,SPECIALIZATION,https://www.coursera.org/specializations/machine-learning-for-everyone,
417,532,Machine Learning with TensorFlow Google Cloud 日本語版,5.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/machine-learning-tensorflow-gcp-jp,
418,111,Machine Learning with TensorFlow on Google Cloud,5.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/machine-learning-tensorflow-gcp,
