,Column1,NAME,NUMBER OF COURSES,companyname,coursetype,URL2,Column5
49,516,Architecting with Google Compute Engine em Português,5.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/gcp-architecture-br,
50,470,Architecting with Google Compute Engine en Español,5.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/gcp-architecture-es,
51,448,Architecting with Google Compute Engine en Français,5.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/gcp-architecture-fr,
52,52,Architecting with Google Kubernetes Engine,4.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/architecting-google-kubernetes-engine,
53,434,Architecting with Google Kubernetes Engine 日本語版,4.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/architecting-google-kubernetes-engine-jp,
54,508,Architecting with Google Kubernetes Engine en Español,4.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/architecting-google-kubernetes-engine-es,
55,519,Architecting with Google Kubernetes Engine en Français,4.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/architecting-google-kubernetes-engine-fr,
56,546,Architecting with Google Kubernetes Engine en Portuguese,4.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/architecting-google-kubernetes-engine-br,
57,540,"Arctic Climate, Environ. & Geographies of a Changing North",3.0,University of Colorado Boulder,SPECIALIZATION,https://www.coursera.org/specializations/arctic-climate-environment-geographies,
58,73,Arizona State University TESOL,8.0,Arizona State University,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/arizona-state-university-tesol,
59,455,Art for Games,4.0,Michigan State University,SPECIALIZATION,https://www.coursera.org/specializations/art-for-games,
60,336,Autodesk CAD/CAM for Manufacturing,4.0,Autodesk,SPECIALIZATION,https://www.coursera.org/specializations/autodesk-cad-cam-manufacturing,
61,217,Autodesk CAD/CAM/CAE for Mechanical Engineering,4.0,Autodesk,SPECIALIZATION,https://www.coursera.org/specializations/autodesk-cad-cam-cae-mechanical-engineering,
62,549,Autodesk Generative Design for Manufacturing,4.0,Autodesk,SPECIALIZATION,https://www.coursera.org/specializations/autodesk-generative-design-manufacturing,
63,49,AWS Fundamentals,4.0,Amazon Web Services,SPECIALIZATION,https://www.coursera.org/specializations/aws-fundamentals,
64,375,Bases de Inteligencia Artificial para Todos,5.0,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/bases-de-inteligencia-artificial-para-todos,
65,443,Basics in computer vision,3.0,HSE University,SPECIALIZATION,https://www.coursera.org/specializations/basics-in-computer-vision,
66,248,Become a Journalist: Report the News!,5.0,Michigan State University,SPECIALIZATION,https://www.coursera.org/specializations/become-a-journalist,
67,302,Become a Sustainable Business Change Agent,4.0,University of Colorado System,SPECIALIZATION,https://www.coursera.org/specializations/sustainable-business-change-agent,
68,226,Become an EMT,6.0,University of Colorado System,SPECIALIZATION,https://www.coursera.org/specializations/become-an-emt,
69,222,Big Data,6.0,University of California San Diego,SPECIALIZATION,https://www.coursera.org/specializations/big-data,
70,295,Bioinformatics,7.0,University of California San Diego,SPECIALIZATION,https://www.coursera.org/specializations/bioinformatics,
71,512,Biology Everywhere,4.0,University of Colorado Boulder,SPECIALIZATION,https://www.coursera.org/specializations/biology-everywhere,
72,201,Biostatistics in Public Health,4.0,Johns Hopkins University,SPECIALIZATION,https://www.coursera.org/specializations/biostatistics-public-health,
73,94,Blockchain,4.0,"University of California, Irvine",SPECIALIZATION,https://www.coursera.org/specializations/blockchain,
74,521,Blockchain,4.0,University at Buffalo,SPECIALIZATION,https://www.coursera.org/specializations/uci-blockchain,
75,597,Blockchain Para a Empresa,4.0,INSEAD,SPECIALIZATION,https://www.coursera.org/specializations/blockchain-para-a-empresa,
76,87,Blockchain Revolution,4.0,INSEAD,SPECIALIZATION,https://www.coursera.org/specializations/blockchain-revolution-enterprise,
77,107,Blockchain Revolution in Financial Services,4.0,INSEAD,SPECIALIZATION,https://www.coursera.org/specializations/blockchain-financial-services,
78,153,Branding: The Creative Journey,4.0,IE Business School,SPECIALIZATION,https://www.coursera.org/specializations/branding-the-creative-journey,
79,317,Building Cloud Computing Solutions at Scale,4.0,Duke University,SPECIALIZATION,https://www.coursera.org/specializations/building-cloud-computing-solutions-at-scale,
